,index,Name of the show,Year of release,Language,Genre,IMDb rating,Age of viewers,Type,OTT
0,0,Pataal Lok,2020,Hindi,Drama,7.5,NC-17,Series,Amazon Prime Video
1,1,Upload,2020,English,Sci-fi comedy,8.1,R,Series,Amazon Prime Video
2,2,The Marvelous Mrs. Maisel,2017,English,"Drama, Comedy",8.7,R,Series,Amazon Prime Video
3,3,Four More Shots Please,2019,Hindi,"Drama, Comedy",5.3,NC-17,Series,Amazon Prime Video
4,4,Fleabag,2016,English,Comedy,8.7,NC-17,Series,Amazon Prime Video
5,5,Made in Heaven,2019,Hindi,Drama,8.3,NC-17,Series,Amazon Prime Video
6,6,Homecoming,2018,English,Drama,7.5,R,Series,Amazon Prime Video
7,7,Mirzapur,2018,Hindi,Drama,8.5,NC-17,Series,Amazon Prime Video
8,8,The Family Man,2019,Hindi,"Drama, Action",8.6,NC-17,Series,Amazon Prime Video
9,9,Modern Love,2019,English,"Drama, Romance, Comedy",8.0,R,Series,Amazon Prime Video
10,10,Comicstaan,2018,Hindi,"Arts, Entertainment, Culture",7.5,NC-17,Series,Amazon Prime Video
11,11,Inside Edge,2017,Hindi,"Sports, Drama",8.0,NC-17,Series,Amazon Prime Video
12,12,The Boys,2019,English,"Action, Comedy",8.7,NC-17,Series,Amazon Prime Video
13,13,Hanna,2019,English,"Drama, Action",7.5,R,Series,Amazon Prime Video
14,14,Hunters,2020,English,"Drama, Action, Suspense",7.2,NC-17,Series,Amazon Prime Video
15,15,Good Omens,2019,English,"Fantasy, Comedy",7.5,R,Series,Amazon Prime Video
16,16,Breathe,2018,Hindi,"Drama, Suspense",8.4,R,Series,Amazon Prime Video
17,17,The Forgotten Army- Azaadi ke Liye,2020,Hindi,"Drama, Action",8.0,NC-17,Series,Amazon Prime Video
18,18,Tom Clancy's Jack Ryan,2018,English,"Drama, Action, Suspense",8.1,R,Series,Amazon Prime Video
19,19,Tales from the Loop,2020,English,Sci-fi ,7.5,NC-17,Series,Amazon Prime Video
20,20,The Test: A New Era for Australia's Team,2020,English,Documentary,9.0,R,Series,Amazon Prime Video
21,21,The Man in the High Castle,2015,English,"Drama, Suspense",8.0,NC-17,Series,Amazon Prime Video
22,22,One Mic Stand,2019,Hindi,Comedy,6.5,R,Series,Amazon Prime Video
23,23,Undone,2019,English,"Animation, Drama",8.2,R,Series,Amazon Prime Video
24,24,American Gods,2017,English,"Sci-fi, Drama, Suspense",7.8,NC-17,Series,Amazon Prime Video
25,25,The Tick,2018,English,"Comedy, Action",7.4,R,Series,Amazon Prime Video
26,26,Jestination Unknown,2019,Hindi,"Comedy, Arts, Entertainment, Culture",6.2,R,Series,Amazon Prime Video
27,27,Man with a Plan,2018,English,Drama,7.5,G,Series,Amazon Prime Video
28,28,Suits,2011,English,Drama,8.5,R,Series,Amazon Prime Video
29,29,Doctor Who,2005,English,Sci-fi,7.5,G,Series,Amazon Prime Video
30,30,Grey's Anatomy,2005,English,Drama,7.6,R,Series,Amazon Prime Video
31,31,The Mentalist,2009,English,Drama,8.1,R,Series,Amazon Prime Video
32,32,Afsos,2020,Hindi,"Drama, Comedy",7.5,R,Series,Amazon Prime Video
33,33,Laakhon Mein Ek,2017,Hindi,Drama,7.5,R,Series,Amazon Prime Video
34,34,House,2005,English,Drama,7.5,R,Series,Amazon Prime Video
35,35,The Good Doctor,2018,English,Drama,7.5,R,Series,Amazon Prime Video
36,36,The Vampire Diaries,2010,English,"Drama, Horror, Romance, Suspense",7.7,R,Series,Amazon Prime Video
37,37,Hostel Daze,2019,Hindi,"Drama, Comedy",8.7,R,Series,Amazon Prime Video
38,38,Mr. Robot,2015,English,"Drama, Suspense",8.5,NC-17,Series,Amazon Prime Video
39,39,Supernatural,2006,English,"Drama, Suspense, Horror",8.4,R,Series,Amazon Prime Video
40,40,Dexter,2006,English,Drama,8.6,NC-17,Series,Amazon Prime Video
41,41,The Magicians,2016,English,"Drama, Suspense, Fantasy",7.5,R,Series,Amazon Prime Video
42,42,Blindspot,2016,English,Drama,7.4,R,Series,Amazon Prime Video
43,43,The Good Wife,2010,English,Drama,8.3,R,Series,Amazon Prime Video
44,44,The Girlfriend Experience,2016,English,Drama,7.1,NC-17,Series,Amazon Prime Video
45,45,Chacha Vidhayak Hain Humare,2018,Hindi,"Drama, Comedy",7.5,R,Series,Amazon Prime Video
46,46,Scorpion,2015,English,Drama,7.5,PG-13,Series,Amazon Prime Video
47,47,Shameless,2011,English,"Comedy, Drama",8.6,NC-17,Series,Amazon Prime Video
48,48,Reign,2014,English,Drama,7.5,R,Series,Amazon Prime Video
49,49,Downtown Abbey,2010,English,Drama,8.7,PG,Series,Amazon Prime Video
50,50,McMafia,2018,English,Drama,7.5,PG-13,Series,Amazon Prime Video
51,51,This is Us,2017,English,Drama,8.7,R,Series,Amazon Prime Video
52,52,Malgudi Days Swami & Friends 1,1987,Hindi,Drama,7.5,PG,Series,Amazon Prime Video
53,53,Nikita,2011,English,"Drama, Action",7.5,NC-17,Series,Amazon Prime Video
54,54,Carnival Row,2019,English,"Drama, Fantasy",7.9,R,Series,Amazon Prime Video
55,55,Legacies,2019,English,Drama,7.5,R,Series,Amazon Prime Video
56,56,Bates Motel,2013,English,"Drama, Horror, Suspense",7.5,R,Series,Amazon Prime Video
57,57,The Exorcist,2016,English,Drama,8.1,R,Series,Amazon Prime Video
58,58,The Night Manager,2016,English,"Drama, Suspense",8.1,NC-17,Series,Amazon Prime Video
59,59,The Originals,2014,English,"Drama, Horror, Fantasy",8.2,R,Series,Amazon Prime Video
60,60,The Purge,2018,English,"Drama, Horror, Suspense",7.5,NC-17,Series,Amazon Prime Video
61,61,Deception,2018,English,Drama,7.5,PG-13,Series,Amazon Prime Video
62,62,The Last Ship,2014,English,"Drama, Suspense, Action",7.5,R,Series,Amazon Prime Video
63,63,Treadstone,2019,English,Drama,7.0,R,Series,Amazon Prime Video
64,64,The Terror,2018,English,"Drama, Suspense, Adventure",7.5,R,Series,Amazon Prime Video
65,65,Manifest,2019,English,Drama,7.5,R,Series,Amazon Prime Video
66,66,Pushpavalli,2017,Hindi,"Drama, Comedy",7.5,R,Series,Amazon Prime Video
67,67,Fringe,2009,English,Sci-fi,8.4,R,Series,Amazon Prime Video
68,68,Person of Interest,2012,English,"Drama, Action, Suspense",8.4,R,Series,Amazon Prime Video
69,69,The Affair,2014,English,Drama,7.5,NC-17,Series,Amazon Prime Video
70,70,The American Playboy: The Hugh Hefner Story,2017,English,"Drama, Documentary",7.5,NC-17,Series,Amazon Prime Video
71,71,The Widow,2019,English,"Drama, Suspense",6.9,R,Series,Amazon Prime Video
72,72,God Friended Me,2019,English,"Drama, Comedy",7.5,G,Series,Amazon Prime Video
73,73,Star Trek: Picard,2020,English,Sci-fi,7.6,NC-17,Series,Amazon Prime Video
74,74,Fear the Walking Dead,2015,English,"Drama, Horror",6.9,R,Series,Amazon Prime Video
75,75,Taken,2017,English,"Drama, Action",7.5,R,Series,Amazon Prime Video
76,76,Bosch,2015,English,Drama,8.4,NC-17,Series,Amazon Prime Video
77,77,Elementary,2013,English,"Drama, Suspense",7.9,R,Series,Amazon Prime Video
78,78,Beauty and the Beast,2013,English,"Drama, Sci-fi",7.1,R,Series,Amazon Prime Video
79,79,NCIS,2004,English,"Drama, Action",7.8,R,Series,Amazon Prime Video
80,80,Masters of Sex,2013,English,Fantasy,7.5,R,Series,Amazon Prime Video
81,81,Into the Badlands,2015,English,"Drama, Action, Sci-fi",8.0,R,Series,Amazon Prime Video
82,82,Vella Raja,2018,Hindi,Action,7.5,R,Series,Amazon Prime Video
83,83,Bang Baaja Baaraat,2015,Hindi,Drama,8.0,NC-17,Series,Amazon Prime Video
84,84,Covert Affairs,2010,English,"Drama, Action",7.5,PG-13,Series,Amazon Prime Video
85,85,The Handmaid's Tale,2017,English,Drama,8.5,NC-17,Series,Amazon Prime Video
86,86,Gangstars,2018,Telugu,"Drama, Suspense",7.5,PG-13,Series,Amazon Prime Video
87,87,Madam Secretary,2015,English,Drama,7.5,PG-13,Series,Amazon Prime Video
88,88,Marvel's Runaways,2018,English,"Drama, Sci-fi",7.5,R,Series,Amazon Prime Video
89,89,One Tree Hill,2004,English,Drama,7.5,PG-13,Series,Amazon Prime Video
90,90,Absentia,2018,English,"Drama, Suspense",7.3,R,Series,Amazon Prime Video
91,91,Grimm,2012,English,"Drama, Action, Adventure",7.5,R,Series,Amazon Prime Video
92,92,Heroes,2007,English,"Drama, Sci-fi",7.5,R,Series,Amazon Prime Video
93,93,Startup,2016,English,Drama,8.0,NC-17,Series,Amazon Prime Video
94,94,Extant,2014,English,Drama,6.6,R,Series,Amazon Prime Video
95,95,Goliath,2016,English,Drama,8.2,NC-17,Series,Amazon Prime Video
96,96,Station 19,2018,English,Drama,7.5,R,Series,Amazon Prime Video
97,97,Diablo Guardian,2018,English,Drama,6.0,NC-17,Series,Amazon Prime Video
98,98,Lethal Weapon,2017,English,"Drama, Action",7.9,R,Series,Amazon Prime Video
99,99,Chernobyl: Aftermath,2016,English,Drama,7.5,PG-13,Series,Amazon Prime Video
100,100,Blue Bloods,2011,English,Drama,7.6,R,Series,Amazon Prime Video
101,101,Patriot,2017,English,"Drama, Suspense",8.3,NC-17,Series,Amazon Prime Video
102,102,Rizzoli and Isles,2010,English,"Drama, Action",7.6,R,Series,Amazon Prime Video
103,103,Luther,2010,English,Drama,7.5,NC-17,Series,Amazon Prime Video
104,104,Dispatches from Elsewhere,2020,English,"Drama, Suspense",7.5,R,Series,Amazon Prime Video
105,105,Mad Men,2007,English,Drama,8.6,R,Series,Amazon Prime Video
106,106,The Looming Tower,2018,English,"Drama, Suspense",7.5,NC-17,Series,Amazon Prime Video
107,107,Siyaasat,2015,Hindi,Drama,7.5,PG-13,Series,Amazon Prime Video
108,108,Mafia Undercover,2016,Italiano,Drama,7.5,R,Series,Amazon Prime Video
109,109,The Baker and The Beauty,2014,Hebrew,"Drama, Romance",7.5,PG-13,Series,Amazon Prime Video
110,110,"Roswell, New Mexico",2019,English,Drama,7.5,G,Series,Amazon Prime Video
111,111,Pretty Little Liars: The Perfectionists,2019,English,Drama,7.5,PG-13,Series,Amazon Prime Video
112,112,Major Crimes,2012,English,Drama,7.7,R,Series,Amazon Prime Video
113,113,Happy Marriage!?,2018,Japanese,"Drama, Romance",7.5,PG-13,Series,Amazon Prime Video
114,114,The Crossing,2018,English,"Drama, Sci-fi",7.5,G,Series,Amazon Prime Video
115,115,Famous in Love,2017,English,"Drama, Romance",6.9,G,Series,Amazon Prime Video
116,116,Rush,2008,English,Drama,7.5,NC-17,Series,Amazon Prime Video
117,117,Whiskey Cavalier,2019,English,"Drama, Comedy, Action",7.5,PG-13,Series,Amazon Prime Video
118,118,Hawaii Five-O,2011,English,"Drama, Action",7.3,R,Series,Amazon Prime Video
119,119,Penny Dreadful,2014,English,"Drama, Horror",8.2,G,Series,Amazon Prime Video
120,120,You are Wanted,2017,English,Drama,7.5,PG-13,Series,Amazon Prime Video
121,121,H.G. Wells: The Invisible Man,2012,English,"Drama, Sci-fi, Suspense, Action",7.5,PG,Series,Amazon Prime Video
122,122,Parenthood,2010,English,"Drama, Comedy",7.5,R,Series,Amazon Prime Video
123,123,Marvel's Cloak & Dagger,2018,English,"Drama, Fantasy",7.5,R,Series,Amazon Prime Video
124,124,Preacher,2016,English,Drama,8.0,NC-17,Series,Amazon Prime Video
125,125,The Trial: A Murder in the Family,2017,English,Drama,7.5,R,Series,Amazon Prime Video
126,126,Claws,2017,English,Drama,7.3,G,Series,Amazon Prime Video
127,127,The Good Fight,2017,English,Drama,7.5,NC-17,Series,Amazon Prime Video
128,128,Sneaky Pete,2017,English,Drama,8.2,NC-17,Series,Amazon Prime Video
129,129,Shaktimaan,1998,Hindi,Drama,7.5,R,Series,Amazon Prime Video
130,130,American Woman,2018,English,"Drama, Comedy",7.5,G,Series,Amazon Prime Video
131,131,Hap and Leonard,2016,English,"Drama, Suspense",7.6,R,Series,Amazon Prime Video
132,132,Chicago Med,2016,English,Drama,7.5,G,Series,Amazon Prime Video
133,133,Murder in the First,2014,English,Drama,7.2,NC-17,Series,Amazon Prime Video
