,title,type,rated,runtime,genre,language,country,imdb_rating,OTT
0,10 Things I Hate About You,movie,PG-13,97.0,"Comedy, Drama, Romance","English, French",USA,7.3,Disney+ Hotstar
1,101 Dalmatian Street,series,Not Rated,81.0,"Animation, Comedy, Family",English,"UK, USA, Canada",6.2,Disney+ Hotstar
2,101 Dalmatians,movie,G,103.0,"Adventure, Comedy, Crime, Family","English, Spanish","USA, UK",5.7,Disney+ Hotstar
3,101 Dalmatians 2: Patch's London Adventure,movie,G,74.0,"Animation, Adventure, Comedy, Family, Musical",English,USA,5.8,Disney+ Hotstar
4,102 Dalmatians,movie,G,100.0,"Adventure, Comedy, Family",English,"USA, UK",4.9,Disney+ Hotstar
5,12 Dates of Christmas,movie,PG,90.0,"Comedy, Fantasy, Romance",English,USA,6.3,Disney+ Hotstar
6,"20,000 Leagues Under the Sea",movie,G,127.0,"Adventure, Drama, Family, Fantasy, Sci-Fi",English,USA,7.2,Disney+ Hotstar
7,A Bug's Life,movie,G,95.0,"Animation, Adventure, Comedy, Family",English,USA,7.2,Disney+ Hotstar
8,A Celebration of the Music from Coco,movie,Not Rated,81.0,Music,English,USA,7.6,Disney+ Hotstar
9,A Goofy Movie,movie,G,78.0,"Animation, Adventure, Comedy, Family, Musical, Romance",English,"USA, Australia, France, Canada",6.8,Disney+ Hotstar
10,A Kid in King Arthur's Court,movie,PG,89.0,"Adventure, Comedy, Family, Fantasy, Romance",English,"USA, Hungary, UK",4.7,Disney+ Hotstar
11,A Knight for a Day,movie,Approved,7.0,"Animation, Short, Comedy",English,USA,7.0,Disney+ Hotstar
12,A Ring of Endless Light,movie,TV-G,88.0,"Drama, Family, Romance",English,USA,6.1,Disney+ Hotstar
13,A Tale of Two Critters,movie,G,48.0,"Adventure, Family",English,USA,7.1,Disney+ Hotstar
14,A Wrinkle in Time,movie,PG,109.0,"Adventure, Family, Fantasy, Sci-Fi",English,USA,4.2,Disney+ Hotstar
15,Aladdin,movie,PG,128.0,"Adventure, Family, Fantasy, Musical, Romance","English, Arabic",USA,7.0,Disney+ Hotstar
16,Aladdin,movie,G,90.0,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,8.0,Disney+ Hotstar
17,Aladdin and the King of Thieves,movie,Not Rated,81.0,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,6.4,Disney+ Hotstar
18,Aladdin and the Return of Jafar,movie,G,69.0,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,5.9,Disney+ Hotstar
19,Alice in Wonderland,movie,G,75.0,"Animation, Adventure, Family, Fantasy, Musical",English,USA,7.4,Disney+ Hotstar
20,Alice in Wonderland,movie,PG,108.0,"Adventure, Family, Fantasy",English,USA,6.4,Disney+ Hotstar
21,Aliens of the Deep,movie,G,100.0,"Documentary, Family",English,USA,6.4,Disney+ Hotstar
