,Title,Genre,Language,Type,Age_Rating,IMDB Rating,OTT
1,HOW TO BUILD A GIRL,1,1,1,2,5.8,1
2,Centigrade,2,1,1,1,4.3,1
4,Moxie,3,1,1,1,6.3,1
11,The Invisible,4,1,1,3,6.2,1
15,Joker,4,1,1,2,8.4,1
16,I,5,1,1,6,6.5,1
17,Harrys Daughters,6,1,1,3,8.1,1
23,Girls und Panzer das Finale,3,3,2,1,7.3,1
24,Indoo Ki Jawani,1,4,1,1,1.4,1
25,The Coroner,4,1,2,4,7.0,1
26,Brave New World,2,1,2,2,7.1,1
28,The Closet,1,5,1,2,7.0,1
29,The Mysterians,5,3,1,3,6.2,1
31,Repast,2,3,1,1,7.7,1
32,Sway,4,3,1,1,7.2,1
33,When a Woman Ascends the Stairs,2,3,1,1,8.1,1
34,Yearning,2,3,1,1,8.1,1
35,Gorath,5,3,1,1,5.8,1
36,Ginza Cosmetics,2,3,1,1,6.9,1
37,Floating Clouds,2,3,1,1,7.7,1
38,Cheer Boys!!,3,3,1,4,6.4,1
40,Restart After Come Back Home,2,3,1,1,7.2,1
42,5 Minute,1,1,1,1,8.6,1
43,Dilili in Paris,3,5,1,6,7.0,1
44,All of Us,1,1,1,1,5.9,1
45,Years and Years,2,1,2,2,8.3,1
46,The New Pope,2,1,2,2,8.2,1
47,Life and Nothing But,2,5,1,6,7.4,1
48,Let Joy Reign Supreme,2,5,1,1,7.1,1
49,Coup de Torchon,1,5,1,1,7.5,1
50,Valley of the Gods,6,1,1,4,4.5,1
51,Framing John DeLorean,7,1,1,1,6.5,1
52,Critters Attack!,1,1,1,2,3.7,1
53,The Bold Type,2,1,2,4,8.0,1
54,Alice,1,1,2,3,6.6,1
55,Lobster Cop,1,6,1,1,5.1,1
56,Magic hour,4,1,1,1,5.5,1
57,Marionette,8,1,1,1,5.9,1
58,Miss Baek,2,7,1,1,6.6,1
59,Old Marine Boy,7,7,1,1,6.9,1
60,Ordinary People,2,1,1,2,7.7,1
61,Outdoor Begins,1,7,1,1,4.8,1
65,The Return,2,8,1,1,8.0,1
66,The Rookies,4,1,1,1,6.7,1
67,Snatch Up,2,1,1,1,6.0,1
68,Stray,5,1,1,1,4.8,1
69,Stand by Me,6,1,1,2,8.1,1
71,A Tiger In Winter,2,7,1,1,6.3,1
72,The Three Little Pigs,3,1,1,1,5.8,1
73,Wonderstruck,6,1,1,6,6.2,1
74,Keys To The Heart,1,7,1,1,7.5,1
75,Intimate Strangers,2,5,1,2,7.0,1
76,Homme Fatale,1,7,1,1,6.9,1
77,Happy Bus Day,1,7,1,1,6.8,1
78,Gonjiam: Haunted Asylum,9,7,1,1,6.3,1
