,index,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,View Rating,IMDb Score,Movie Released Year,OTT
0,0,Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Swedish, Spanish",Series,Thailand,30,R,7.9, ,Netflix
1,1,HOW TO BUILD A GIRL,Comedy,English,Movie,Canada,120,R,5.8, ,Netflix
2,2,Centigrade,"Drama, Thriller",English,Movie,Canada,120,Unrated,4.3, ,Netflix
3,3,ANNE+,Drama,Turkish,Series,"Belgium,Netherlands",30,Not Rated,6.5, ,Netflix
4,4,Moxie,"Animation, Short, Drama",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",120,Not Rated,6.3, ,Netflix
5,5,The Con-Heartist,"Comedy, Romance",Thai,Movie,Thailand,180,Not Rated,7.4, ,Netflix
6,6,Gleboka woda,Drama,Polish,Series,Poland,30,Not Rated,7.5, ,Netflix
7,7,Instynkt,Crime,Polish,Series,Poland,30,Not Rated,3.9, ,Netflix
8,8,Only a Mother,Drama,Swedish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",120,Not Rated,6.7, ,Netflix
9,9,Snowroller,Comedy,"Swedish, English, German, Norwegian",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",120,Not Rated,6.6, ,Netflix
10,10,Sunes Summer,"Comedy, Family, Fantasy",Swedish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",120,Not Rated,5.5, ,Netflix
11,11,The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller",English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",120,PG-13,6.2, ,Netflix
12,12,The Simple Minded Murderer,Drama,"Scanian, Swedish",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",120,Not Rated,7.6, ,Netflix
13,13,The Stig-Helmer Story,"Comedy, Drama","Swedish, English",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",120,Not Rated,4.5, ,Netflix
14,14,To Kill a Child,"Short, Drama",Spanish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",30,Not Rated,7.7, ,Netflix
15,15,Joker,"Crime, Drama, Thriller",English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",120,R,8.4, ,Netflix
16,16,I,"Action, Adventure, Fantasy, Sci-Fi","English, Sanskrit",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",120,PG,6.5, ,Netflix
